city,area,latitude,longitude
Bezdědovice,Strakonice,49.444294,13.880068
Bezděkov,Havlíčkův Brod,49.732931,15.730501
Bezděkov,Pardubice,50.008869,15.644768
Bezděkov,Klatovy,49.379500,13.297971
Bezděkov,Rokycany,49.824389,13.596645
Bezděkov nad Metují,Náchod,50.509838,16.229341
Bezděkov pod Třemšínem,Příbram,49.577203,13.878564
Bezděz,Česká Lípa,50.533742,14.722084
Bezdružice,Tachov,49.906771,12.971351
Bezkov,Znojmo,48.871321,15.951352
Bezměrov,Kroměříž,49.329903,17.334894
Bezno,Mladá Boleslav,50.367388,14.795726
Bezuchov,Přerov,49.462827,17.608881
Bezvěrov,Plzeň-sever,49.995118,13.059113
Bílá,Liberec,50.664931,15.035522
Bílá,Frýdek-Místek,49.442171,18.453037
Bílá Hlína,Mladá Boleslav,50.532604,14.925357
Bílá Lhota,Olomouc,49.709629,16.975180
Bílá Třemešná,Trutnov,50.444749,15.741120
Bílá Voda,Jeseník,50.442133,16.916515
Bílčice,Bruntál,49.869715,17.565611
Bílé Podolí,Kutná Hora,49.956586,15.491127
Bílé Poličany,Trutnov,50.390894,15.731985
Bílence,Chomutov,50.424657,13.506010
Bílichov,Kladno,50.262151,13.916459
Bílina,Teplice,50.548647,13.775459
Bílkovice,Benešov,49.759822,14.861056
Bílov,Nový Jičín,49.734170,18.001712
Bílov,Plzeň-sever,50.017964,13.424950
Bílovec,Nový Jičín,49.756486,18.015919
Bílovice,Uherské Hradiště,49.099749,17.549716
Bílovice nad Svitavou,Brno-venkov,49.247178,16.672575
Bílovice-Lutotín,Prostějov,49.511097,17.043319
Bílsko,Strakonice,49.159145,14.059108
Bílsko,Olomouc,49.644661,17.019776
Bílsko u Hořic,Jičín,50.369489,15.600604
Bílý Kámen,Jihlava,49.417417,15.560205
Bílý Kostel nad Nisou,Liberec,50.823246,14.924507
Bílý Potok,Liberec,50.873842,15.222203
Bílý Újezd,Rychnov nad Kněžnou,50.238541,16.225370
Biřkov,Klatovy,49.518156,13.230256
Biskoupky,Brno-venkov,49.097789,16.281386
Biskupice,Prostějov,49.459774,17.236699
Biskupice,Chrudim,49.872861,15.512907
Biskupice,Svitavy,49.647572,16.758148
Biskupice,Zlín,49.083208,17.710527
Biskupice-Pulkov,Třebíč,49.038255,16.009555
Bítouchov,Mladá Boleslav,50.475882,14.889523
Bítov,Znojmo,48.936395,15.729075
Bítov,Nový Jičín,49.800422,18.047592
Bítovany,Chrudim,49.897307,15.864730
Bítovčice,Jihlava,49.368136,15.734153
Bitozeves,Louny,50.373260,13.640793
Blanné,Znojmo,48.992037,15.883346
Blansko,Blansko,49.364950,16.647855
Blatce,Česká Lípa,50.502986,14.603251
Blatec,Olomouc,49.528444,17.238673
Blatná,Strakonice,49.424993,13.881864
Blatnice,Třebíč,49.070235,15.871431
Blatnice,Plzeň-sever,49.719824,13.156096
Blatnice pod Svatým Antonínkem,Hodonín,48.946824,17.466069
Blatnička,Hodonín,48.935609,17.530151
Blatno,Chomutov,50.511799,13.358172
Blatno,Louny,50.097026,13.389809
Blazice,Kroměříž,49.442570,17.645401
Blažejov,Jindřichův Hradec,49.142295,15.096553
Blažejovice,Benešov,49.619897,15.200036
Blažim,Plzeň-sever,49.916024,13.047724
Blažim,Louny,50.406950,13.628683
Blažkov,Žďár nad Sázavou,49.473174,16.185267
Blažovice,Brno-venkov,49.165785,16.786216
Blešno,Hradec Králové,50.214011,15.930746
Blevice,Kladno,50.209825,14.236267
Blízkov,Žďár nad Sázavou,49.400584,15.908810
Blížejov,Domažlice,49.500115,12.989366
Blíževedly,Česká Lípa,50.608503,14.396598
Blížkovice,Znojmo,48.999862,15.834918
Blovice,Plzeň-jih,49.582303,13.540199
Blšany,Louny,50.217441,13.471313
Blšany u Loun,Louny,50.347086,13.852757
Blučina,Brno-venkov,49.055066,16.644601
Bludov,Šumperk,49.941116,16.928111
Bludov,Kutná Hora,49.807592,15.255286
Bobnice,Nymburk,50.219681,15.053622
Bobrová,Žďár nad Sázavou,49.482402,16.118399
Bobrůvka,Žďár nad Sázavou,49.448740,16.093912
Bocanovice,Frýdek-Místek,49.569174,18.738514
Boháňka,Jičín,50.365894,15.708485
Boharyně,Hradec Králové,50.203911,15.630961
Bohaté Málkovice,Vyškov,49.189126,17.014284
Bohatice,Česká Lípa,50.669033,14.679426
Bohdalec,Žďár nad Sázavou,49.474379,16.059870
Bohdalice-Pavlovice,Vyškov,49.214143,17.030228
Bohdalín,Pelhřimov,49.307781,15.015943
Bohdalov,Žďár nad Sázavou,49.480764,15.876542
Bohdalovice,Český Krumlov,48.742940,14.286864
Bohdaneč,Kutná Hora,49.778273,15.222656
Bohdašín,Rychnov nad Kněžnou,50.338561,16.225153
Bohdíkov,Šumperk,50.010058,16.904438
Bohostice,Příbram,49.602243,14.138233
Bohumilice,Prachatice,49.096180,13.816441
Bohumín,Karviná,49.904426,18.357074
Bohunice,Prachatice,49.132496,13.973287
Bohuňov,Žďár nad Sázavou,49.560508,16.202547
Bohuňov,Svitavy,49.599198,16.463955
Bohuňovice,Olomouc,49.663112,17.287037
Bohuňovice,Svitavy,49.907982,16.262964
Bohuslavice,Jihlava,49.149530,15.575917
Bohuslavice,Náchod,50.312731,16.088688
Bohuslavice,Opava,49.942415,18.128764
Bohuslavice,Prostějov,49.620952,16.957654
Bohuslavice,Šumperk,49.826153,16.940636
Bohuslavice nad Vláří,Zlín,49.090273,17.926421
Bohuslavice u Zlína,Zlín,49.163201,17.636864
Bohuslávky,Přerov,49.555256,17.567886
Bohušice,Třebíč,49.085207,15.852226
Bohušov,Bruntál,50.243389,17.713963
Bohušovice nad Ohří,Litoměřice,50.493264,14.150595
Bohutice,Znojmo,48.991375,16.357739
Bohutín,Šumperk,49.953611,16.882039
Bohutín,Příbram,49.655620,13.943995
Bohy,Plzeň-sever,49.937892,13.575531
Bochoř,Přerov,49.421475,17.428459
Bochov,Karlovy Vary,50.151007,13.045282
Bochovice,Třebíč,49.320924,15.896424
Bojanov,Chrudim,49.841414,15.704985
Bojanovice,Znojmo,48.968259,15.989159
Bojanovice,Praha-západ,49.854542,14.352145
Bojiště,Havlíčkův Brod,49.667888,15.286899
Bojkovice,Uherské Hradiště,49.038744,17.814983
Bolatice,Opava,49.951819,18.083690
Boleboř,Chomutov,50.540271,13.413447
Bolehošť,Rychnov nad Kněžnou,50.213724,16.077076
Boleradice,Břeclav,48.966776,16.814026
Bolešiny,Klatovy,49.410002,13.361712
Boletice (vojenský újezd),Český Krumlov,48.824975,14.217435
Bolkov,Plzeň-jih,49.533675,13.223973
Boňkov,Havlíčkův Brod,49.547150,15.447573
Bor,Tachov,49.711706,12.775276
Bor u Skutče,Chrudim,49.822412,16.127052
Borač,Brno-venkov,49.400915,16.361217
Bordovice,Nový Jičín,49.546979,18.152729
Boreč,Mladá Boleslav,50.407453,14.732498
Borek,České Budějovice,49.023491,14.500984
Borek,Havlíčkův Brod,49.791915,15.590083
Borek,Jičín,50.438962,15.654346
Borek,Pardubice,50.127301,15.856639
Borek,Praha-východ,50.222684,14.647521
Borkovany,Břeclav,49.028264,16.810211
Borkovice,Tábor,49.208048,14.643532
Borohrádek,Rychnov nad Kněžnou,50.097870,16.093365
Borotice,Znojmo,48.857391,16.242711
Borotice,Příbram,49.735072,14.279808
Borotín,Tábor,49.505132,14.613070
Borotín,Blansko,49.581447,16.671585
Borová,Náchod,50.386091,16.253287
Borová,Svitavy,49.741782,16.162337
Borová Lada,Prachatice,48.989939,13.659961
Borovany,České Budějovice,48.898704,14.642367
Borovany,Písek,49.343099,14.392567
Borovná,Jihlava,49.164698,15.394712
Borovnice,České Budějovice,48.912174,14.519089
Borovnice,Žďár nad Sázavou,49.667328,16.202654
Borovnice,Rychnov nad Kněžnou,50.063008,16.245418
Borovnice,Trutnov,50.509256,15.617294
Borovnice,Benešov,49.648835,15.018438
Borovnička,Trutnov,50.500964,15.667313
Borovník,Brno-venkov,49.355656,16.229456
Borovno,Plzeň-jih,49.622087,13.690481
Borovy,Plzeň-jih,49.525208,13.302442
Boršice,Uherské Hradiště,49.062643,17.350953
Boršice u Blatnice,Uherské Hradiště,48.934962,17.571104
Boršov,Jihlava,49.404043,15.434297
Boršov nad Vltavou,České Budějovice,48.921882,14.434092
Borušov,Svitavy,49.780652,16.740556
Bory,Žďár nad Sázavou,49.425865,16.026282
Bořanovice,Praha-východ,50.178336,14.478857
Bořenovice,Kroměříž,49.361618,17.564472
Bořetice,Břeclav,48.913124,16.853168
Bořetice,Pelhřimov,49.496166,15.110050
Bořetín,Jindřichův Hradec,49.189321,15.211941
Bořetín,Pelhřimov,49.310234,14.947722
Bořice,Chrudim,49.976950,15.925435
Bořislav,Teplice,50.579462,13.929313
Bořitov,Blansko,49.425135,16.591291
Boseň,Mladá Boleslav,50.504204,15.022906
Boskovice,Blansko,49.487612,16.660076
Boskovštejn,Znojmo,48.982797,15.929654
Bošice,Prachatice,49.089388,13.840431
Bošilec,České Budějovice,49.149418,14.646319
Bošín,Ústí nad Orlicí,50.034233,16.203069
Bošovice,Vyškov,49.053609,16.836868
Boudy,Písek,49.448057,14.035591
Bousín,Prostějov,49.455207,16.889847
Bousov,Chrudim,49.901849,15.535529
Bouzov,Olomouc,49.704361,16.892988
Bozkov,Semily,50.640171,15.337206
Božanov,Náchod,50.526878,16.365391
Božejov,Pelhřimov,49.362207,15.155899
Božetice,Písek,49.451230,14.444001
Boží Dar,Karlovy Vary,50.409844,12.924571
Božice,Znojmo,48.836967,16.288856
Božičany,Karlovy Vary,50.258843,12.769752
Bradáčov,Tábor,49.490902,14.871519
Brada-Rybníček,Jičín,50.465297,15.337606
Bradlec,Mladá Boleslav,50.451452,14.910293
Bradlecká Lhota,Semily,50.488672,15.396332
Brambory,Kutná Hora,49.978250,15.470316
Braňany,Most,50.543055,13.700283
Brandov,Most,50.632110,13.390831
Brandýs nad Labem - Stará Boleslav,Praha-východ,50.186426,14.659344
Brandýs nad Orlicí,Ústí nad Orlicí,50.002042,16.285384
Brandýsek,Kladno,50.189330,14.162098
Branice,Písek,49.402569,14.339640
Braníškov,Brno-venkov,49.294469,16.345762
Branišov,České Budějovice,48.978807,14.395791
Branišovice,Brno-venkov,48.962911,16.431951
Branka u Opavy,Opava,49.888057,17.882754
Brankovice,Vyškov,49.156081,17.134911
Branky,Vsetín,49.461056,17.893060
Branná,Šumperk,50.153360,17.011954
Branov,Rakovník,50.012981,13.843021
Bransouze,Třebíč,49.302776,15.751924
Brantice,Bruntál,50.063603,17.629214
Branžež,Mladá Boleslav,50.507685,15.058005
Braškov,Kladno,50.102133,14.100859
Bratčice,Brno-venkov,49.065247,16.523184
Bratčice,Kutná Hora,49.855317,15.430482
Bratkovice,Příbram,49.740519,13.999043
Bratronice,Strakonice,49.365361,13.842454
Bratronice,Kladno,50.067851,14.014265
Bratrušov,Šumperk,50.009487,16.949028
Bratřejov,Zlín,49.222558,17.913427
Bratřice,Pelhřimov,49.516554,15.001328
Bratříkovice,Opava,49.932674,17.687641
Bratřínov,Praha-západ,49.842681,14.340242
Bravantice,Nový Jičín,49.757218,18.082863
Brázdim,Praha-východ,50.183633,14.588290
Bražec,Karlovy Vary,50.172681,13.046575
Brdy (vojenský újezd),Příbram,49.789268,13.903243
Brloh,Český Krumlov,48.929980,14.218667
Brloh,Pardubice,50.000688,15.557385
Brňany,Litoměřice,50.481073,14.141967
Brněnec,Svitavy,49.627449,16.522125
Brníčko,Šumperk,49.894982,16.968308
Brnířov,Domažlice,49.382698,13.049690
Brniště,Česká Lípa,50.729288,14.703495
Brno,Brno-město,49.195160,16.606937
Brod nad Dyjí,Břeclav,48.875309,16.535482
Brod nad Tichou,Tachov,49.835396,12.741203
Brodce,Mladá Boleslav,50.330780,14.869280
Brodec,Louny,50.295025,13.801725
Brodek u Konice,Prostějov,49.548791,16.832970
Brodek u Prostějova,Prostějov,49.370064,17.090164
Brodek u Přerova,Přerov,49.484289,17.338354
Brodeslavy,Plzeň-sever,49.953778,13.557097
Broumov,Náchod,50.585758,16.331915
Broumov,Tachov,49.889478,12.606805
Broumy,Beroun,49.955171,13.852368
Brozany nad Ohří,Litoměřice,50.453763,14.145512
Brtnice,Jihlava,49.307047,15.676522
Brtnička,Jihlava,49.237281,15.624317
Brťov-Jeneč,Blansko,49.413781,16.517076
Brumov,Brno-venkov,49.462484,16.425856
Brumov-Bylnice,Zlín,49.092465,18.022809
Brumovice,Břeclav,48.960895,16.896260
Brumovice,Opava,50.015393,17.749685
Bruntál,Bruntál,49.988277,17.463794
Brusné,Kroměříž,49.363440,17.660807
Brušperk,Frýdek-Místek,49.700196,18.222205
Bruzovice,Frýdek-Místek,49.717092,18.409749
Brzánky,Litoměřice,50.461941,14.301296
Brzice,Náchod,50.444489,15.958411
Brzkov,Jihlava,49.526068,15.727240
Břasy,Rokycany,49.837107,13.578439
Břeclav,Břeclav,48.753240,16.882617
Břehov,České Budějovice,49.022388,14.330668
Břehy,Pardubice,50.051994,15.577582
Břest,Kroměříž,49.351167,17.440825
Břestek,Uherské Hradiště,49.094985,17.356023
Břevnice,Havlíčkův Brod,49.631361,15.612697
Březejc,Žďár nad Sázavou,49.346399,16.091562
Březí,Strakonice,49.507873,13.797583
Březí,Břeclav,48.819377,16.567583
Březí,Žďár nad Sázavou,49.343279,16.216045
Březí,Praha-východ,50.014766,14.699389
Březí nad Oslavou,Žďár nad Sázavou,49.502993,15.935697
Březina,Jindřichův Hradec,49.290639,14.909760
Březina,Jičín,50.434394,15.313367
Březina,Svitavy,49.651038,16.619713
Březina,Rokycany,49.807642,13.596901
Březina,Mladá Boleslav,50.548647,15.032901
Březina,Brno-venkov,49.282167,16.755163
Březina,Brno-venkov,49.281698,16.749623
Březina (vojenský újezd),Vyškov,49.368199,16.960939
Březinky,Svitavy,49.662787,16.787030
Březiny,Svitavy,49.690726,16.118233
Březnice,Tábor,49.251874,14.514089
Březnice,Příbram,49.557739,13.950734
Březnice,Zlín,49.184965,17.656742
Březník,Třebíč,49.172155,16.194204
Březno,Mladá Boleslav,50.406292,15.005584
Březno,Chomutov,50.402280,13.420942
Březolupy,Uherské Hradiště,49.121484,17.580451
Březová,Karlovy Vary,50.197494,12.870986
Březová,Sokolov,50.145752,12.643488
Březová,Opava,49.791678,17.865664
Březová,Beroun,49.904184,13.883116
Březová,Uherské Hradiště,48.922188,17.742769
Březová,Zlín,48.923332,17.741218
Březová nad Svitavou,Svitavy,49.644277,16.518096
Březová-Oleško,Praha-západ,49.904148,14.411028
Březovice,Mladá Boleslav,50.470818,14.733711
Březské,Žďár nad Sázavou,49.330018,16.238271
Březsko,Prostějov,49.608693,16.892539
Březůvky,Zlín,49.153427,17.699728
Břežany,Znojmo,48.870023,16.341852
Břežany,Klatovy,49.348864,13.617460
Břežany,Rakovník,50.006960,13.582896
Břežany I,Kolín,50.035026,15.079055
Břežany II,Kolín,50.093862,14.804403
Břidličná,Bruntál,49.911767,17.371179
Bříství,Nymburk,50.134028,14.841845
Bříšťany,Jičín,50.316342,15.620923
Bříza,Litoměřice,50.360615,14.216366
Břvany,Louny,50.401253,13.721648
Bublava,Sokolov,50.374494,12.505287
Bubovice,Beroun,49.969761,14.166601
Bučí,Plzeň-sever,49.885275,13.302879
Bučina,Ústí nad Orlicí,49.896972,16.192941
Bučovice,Vyškov,49.149402,17.003981
Budčeves,Jičín,50.308573,15.254641
Budeč,Jindřichův Hradec,49.087277,15.589973
Budeč,Žďár nad Sázavou,49.536470,15.912421
Budětice,Klatovy,49.283469,13.584770
Budětsko,Prostějov,49.587129,16.926980
Budíkov,Pelhřimov,49.579243,15.362705
Budiměřice,Nymburk,50.195426,15.098869
Budislav,Tábor,49.293941,14.837518
Budislav,Svitavy,49.801511,16.174739
Budíškovice,Jindřichův Hradec,49.076348,15.531006
Budišov,Třebíč,49.271484,16.003938
Budišov nad Budišovkou,Opava,49.795210,17.629792
Budišovice,Opava,49.861418,18.039719
Budkov,Prachatice,49.070156,14.007074
Budkov,Třebíč,49.054591,15.659030
Budyně,Strakonice,49.146060,14.071176
Budyně nad Ohří,Litoměřice,50.404377,14.126018
Buchlovice,Uherské Hradiště,49.086371,17.338628
Bujanov,Český Krumlov,48.702429,14.429747
Bujesily,Rokycany,49.914681,13.574492
Buk,Prachatice,49.038011,13.845247
Buk,Přerov,49.504545,17.468822
Bukov,Žďár nad Sázavou,49.454403,16.223666
Buková,Prostějov,49.509838,16.829233
Buková,Plzeň-jih,49.537495,13.158861
Buková u Příbramě,Příbram,49.755238,14.066683
Bukovany,Hodonín,49.042267,17.100961
Bukovany,Sokolov,50.166437,12.572766
Bukovany,Olomouc,49.605360,17.343594
Bukovany,Benešov,49.822898,14.624388
Bukovany,Příbram,49.574617,14.102640
Bukovec,Frýdek-Místek,49.556686,18.821553
Bukovec,Domažlice,49.586461,12.995414
Bukovice,Brno-venkov,49.406829,16.489825
Bukovice,Náchod,50.549647,16.228038
Bukovina,Blansko,49.297608,16.773268
Bukovina nad Labem,Pardubice,50.124960,15.823385
Bukovina u Čisté,Semily,50.542694,15.583940
Bukovina u Přelouče,Pardubice,49.948338,15.562977
Bukovinka,Blansko,49.294279,16.805039
Bukovka,Pardubice,50.101131,15.625408
Bukovník,Klatovy,49.222588,13.661427
Bukovno,Mladá Boleslav,50.446863,14.840687
Bukvice,Jičín,50.412586,15.294637
Bulhary,Břeclav,48.831565,16.748843
Bulovka,Liberec,50.971244,15.123670
Buřenice,Pelhřimov,49.552815,15.066329
Buš,Praha-západ,49.803410,14.384043
Bušanovice,Prachatice,49.115542,13.934788
Bušín,Šumperk,49.976227,16.837978
Bušovice,Rokycany,49.795629,13.534766
Buštěhrad,Kladno,50.156043,14.189083
Butoves,Jičín,50.386551,15.427515
Buzice,Strakonice,49.422730,13.932715
Býčkovice,Litoměřice,50.559879,14.213625
Býchory,Kolín,50.067727,15.273572
Býkev,Mělník,50.347271,14.418129
Bykoš,Beroun,49.883057,14.063765
Býkovice,Blansko,49.430303,16.538385
Býkov-Láryšov,Bruntál,50.052449,17.687486
Bylany,Chrudim,49.957375,15.733261
Bynovec,Děčín,50.820934,14.264287
Bystrá,Pelhřimov,49.508570,15.371288
Bystrá nad Jizerou,Semily,50.604834,15.401976
Bystré,Rychnov nad Kněžnou,50.321556,16.255333
Bystré,Svitavy,49.628557,16.346893
Bystročice,Olomouc,49.536347,17.193626
Bystrovany,Olomouc,49.597116,17.323754
Bystřany,Teplice,50.628776,13.864300
Bystřec,Ústí nad Orlicí,50.011781,16.619105
Bystřice,Jičín,50.392983,15.244218
Bystřice,Frýdek-Místek,49.636670,18.720488
Bystřice,Benešov,49.732235,14.667506
Bystřice nad Pernštejnem,Žďár nad Sázavou,49.523046,16.261571
Bystřice pod Hostýnem,Kroměříž,49.399337,17.674121
Bystřice pod Lopeníkem,Uherské Hradiště,48.974921,17.764159
Bystřička,Vsetín,49.415411,17.974099
Byšice,Mělník,50.310544,14.611470
Býškovice,Přerov,49.467566,17.714164
Býšovec,Žďár nad Sázavou,49.475308,16.289398
Býšť,Pardubice,50.132532,15.911265
Byzhradec,Rychnov nad Kněžnou,50.215939,16.190300
Bzenec,Hodonín,48.973463,17.266959
Bzová,Beroun,49.897991,13.862507
Bžany,Teplice,50.589151,13.879624
Cebiv,Tachov,49.829449,12.979175
Cehnice,Strakonice,49.215169,14.029493
Cejle,Jihlava,49.369400,15.472878
Cekov,Rokycany,49.821968,13.763901
Cep,Jindřichův Hradec,48.919602,14.807457
Cerekvice nad Bystřicí,Jičín,50.333348,15.723633
Cerekvice nad Loučnou,Svitavy,49.898991,16.215295
Cerekvička-Rosice,Jihlava,49.334875,15.587278
Cerhenice,Kolín,50.071376,15.072140
Cerhonice,Písek,49.418097,14.055739
Cerhovice,Beroun,49.849643,13.834934
Cetechovice,Kroměříž,49.172391,17.261484
Cetenov,Liberec,50.644523,14.917705
Cetkovice,Blansko,49.578884,16.721351
Cetoraz,Pelhřimov,49.455335,14.957412
Cetyně,Příbram,49.599728,14.121455
Cidlina,Třebíč,49.128295,15.735638
Cikháj,Žďár nad Sázavou,49.644947,15.967490
Církvice,Kolín,49.909456,15.015818
Církvice,Kutná Hora,49.945703,15.335153
Císařov,Přerov,49.466135,17.352711
Citice,Sokolov,50.162671,12.613440
Cítoliby,Louny,50.332834,13.812247
Citonice,Znojmo,48.884055,15.964567
Citov,Přerov,49.467819,17.325561
Cítov,Mělník,50.372354,14.398243
Cizkrajov,Jindřichův Hradec,49.030650,15.389754
Cotkytle,Ústí nad Orlicí,49.936282,16.724140
Crhov,Blansko,49.545112,16.434827
Ctětín,Chrudim,49.830355,15.839524
Ctiboř,Tachov,49.827330,12.610120
Ctiboř,Benešov,49.736767,14.904302
Ctidružice,Znojmo,48.982616,15.860090
Ctiměřice,Mladá Boleslav,50.377891,14.993465
Ctiněves,Litoměřice,50.374801,14.307223
Cvikov,Česká Lípa,50.777293,14.633019
Cvrčovice,Brno-venkov,48.993768,16.514581
Cvrčovice,Kladno,50.179896,14.154895
Čachotín,Havlíčkův Brod,49.695303,15.608696
Čachovice,Mladá Boleslav,50.275570,14.946032
Čachrov,Klatovy,49.265538,13.302687
Čakov,České Budějovice,48.980659,14.307773
Čakov,Benešov,49.825696,14.836436
Čaková,Bruntál,50.051137,17.548483
Čakovičky,Mělník,50.231701,14.531487
Čankovice,Chrudim,49.963804,15.937395
Čáslav,Kutná Hora,49.910995,15.390894
Čáslavice,Třebíč,49.152316,15.772506
Čáslavsko,Pelhřimov,49.592512,15.002850
Částkov,Tachov,49.756077,12.673799
Částkov,Uherské Hradiště,49.104530,17.619917
Častohostice,Třebíč,49.014482,15.819302
Častolovice,Rychnov nad Kněžnou,50.129194,16.181387
Častrov,Pelhřimov,49.307899,15.180392
Časy,Pardubice,50.069473,15.898214
Čavisov,Ostrava-město,49.829577,18.080797
Čebín,Brno-venkov,49.313339,16.478018
Čečelice,Mělník,50.294103,14.618687
Čečelovice,Strakonice,49.374116,13.794971
